id,age,income,gender,purchase_amount,signup_date
630,66,53261.49,Female,247.06,2023-12-12
789,65,,Male,56.42,2023-05-04
685,59,70764.09,Female,264.08,2023-10-18
517,64,41432.32,Female,98.24,2023-08-25
530,53,52963.99,Female,64.41,2023-04-18
658,53,60517.59,male,78.9,2023-06-20
553,45,,Male,135.92,2023-07-01
532,47,39662.18,Male,87.73,2023-03-31
322,65,43065.87,FEMALE,221.56,2023-01-02
71,23,67516.73,Female,201.82,2023-08-02
838,27,47195.43,Male,69.87,2023-10-05
454,69,42469.19,Female,60.74,2023-07-14
997,64,36687.62,Female,19.35,2023-05-22
669,40,35129.11,male,93.37,2023-05-26
248,41,,Male,74.97,2023-07-07
614,66,48789.25,Female,32.78,2023-12-29
845,63,35909.97,Female,82.45,2023-04-16
705,21,35262.69,Female,93.95,2023-03-24
299,22,52665.52,Female,103.84,2023-02-14
102,18,84060.39,Female,50.0,2023-05-28
903,46,,Male,17.18,2023-07-01
920,68,58049.79,Male,94.9,2023-08-25
214,41,45356.8,Female,232.85,2023-01-18
238,19,,Male,42.84,2023-10-22
596,67,43578.27,Male,0.86,2023-05-26
282,42,48559.1,Male,43.67,2023-03-17
871,65,58121.94,Female,135.16,2023-03-29
287,59,40595.49,Female,104.1,2023-09-12
923,33,64940.72,Female,,2023-08-30
888,47,36727.96,Male,114.01,2023-09-17
465,56,27117.12,Male,48.18,2023-12-17
797,22,52880.74,Male,40.49,2023-03-05
97,62,27821.21,FEMALE,131.4,2023-01-26
245,28,50276.51,Female,120.89,2023-12-03
890,44,75675.63,Male,411.03,2023-01-19
77,61,55916.78,Female,62.2,2023-02-28
902,22,40914.28,Male,0.59,2023-11-12
210,41,67389.95,Female,155.71,2023-09-22
260,33,30806.35,Male,35.19,2023-07-10
159,56,44963.23,Female,36.36,2023-10-23
740,64,54647.31,male,19.99,2023-02-23
433,37,48570.57,Female,60.25,2023-04-07
332,33,52948.32,Female,10.62,2023-12-04
957,31,57364.62,Male,14.83,2023-12-06
315,66,49406.67,Male,4.76,2023-04-21
295,19,39092.94,Female,8.96,2023-08-01
383,54,40808.17,Female,40.21,2023-07-11
389,52,,Male,110.12,2023-12-10
576,29,67590.94,Male,49.19,2023-05-23
880,68,58689.37,Male,146.89,2023-12-14
443,45,67925.7,Male,7.52,2023-03-08
722,37,58149.47,Male,55.01,2023-01-25
60,61,33054.4,Female,,2023-02-28
679,34,12508.91,Male,41.88,2023-05-19
371,21,40439.19,Male,278.15,2023-07-09
483,36,48653.96,Female,11.51,2023-05-23
382,58,76938.17,Female,21.03,2023-04-12
55,19,37093.8,Female,35.19,2023-07-29
24,19,42693.12,Female,34.54,2023-01-19
31,66,46415.78,Female,,2023-07-30
881,56,51793.71,Male,34.53,2023-11-17
431,53,53740.76,Female,175.44,2023-10-31
11,28,51160.52,Male,98.8,2023-08-23
657,38,58961.0,Male,20.22,2023-04-08
814,43,48516.66,Male,155.06,2023-02-03
484,45,71601.76,Female,146.06,2023-09-07
544,18,56544.86,Male,83.03,2023-12-11
200,56,33064.22,Female,0.27,2023-12-09
502,56,49284.33,Male,238.46,2023-02-09
941,38,44525.71,Male,166.89,2023-10-03
108,61,37158.74,Male,89.79,2023-12-06
219,69,42159.15,Male,70.11,2023-01-13
926,33,,Male,99.52,2023-02-10
175,24,50208.94,FEMALE,5.21,2023-05-05
724,25,50608.88,Female,67.14,2023-12-21
882,55,35403.97,Male,54.63,2023-02-16
934,20,63917.6,Female,88.21,2023-03-17
395,50,42235.83,Female,99.12,2023-12-05
40,69,58150.4,Female,237.56,2023-02-20
834,20,30322.46,Female,13.19,2023-12-09
774,43,31855.38,Male,53.68,2023-01-08
352,63,38483.04,Male,41.55,2023-01-01
67,67,55567.19,Female,9.33,2023-09-17
278,57,60504.65,Female,36.26,2023-02-01
68,57,40940.22,Male,110.66,2023-07-12
911,22,80200.81,Male,101.82,2023-10-25
440,68,34602.27,Male,19.25,2023-08-25
737,62,37469.79,Male,108.38,2023-11-28
297,65,48883.5,Female,1.24,2023-03-25
621,29,81325.62,Female,97.3,2023-11-10
491,18,62609.65,Male,0.0,2023-04-22
820,50,64880.64,Male,,2023-06-29
559,67,75258.92,Male,33.52,2023-07-27
425,52,29602.16,Male,349.93,2023-12-21
925,28,28672.84,Male,167.19,2023-10-10
313,69,33784.15,Female,35.53,2023-09-21
185,61,46175.34,Female,22.17,2023-12-10
333,58,65477.67,Female,68.18,2023-09-26
89,38,50276.28,Male,123.02,2023-03-31
64,31,38046.57,Male,,2023-11-17
835,40,34023.3,Male,48.54,2023-05-06
577,48,58154.0,Female,88.72,2023-11-06
216,69,31233.3,Male,81.31,2023-09-28
616,49,20026.99,Female,71.85,2023-03-06
514,31,45783.5,Female,162.55,2023-11-07
291,43,59486.12,Female,9.39,2023-12-11
378,46,59493.98,Female,368.4,2023-08-01
892,51,25796.58,Male,27.12,2023-11-02
970,43,75533.22,Male,39.64,2023-05-30
947,38,46681.2,Female,120.75,2023-06-13
787,30,38967.05,Male,7.58,2023-03-12
426,67,61193.8,Male,3.22,2023-08-26
697,62,35171.13,Male,,2023-08-13
996,60,56292.99,Male,423.09,2023-03-28
310,41,53115.32,Female,107.01,2023-10-06
87,40,21938.12,Female,276.48,2023-06-05
732,42,63423.87,Female,54.1,2023-08-02
756,48,41696.18,Female,7.8,2023-11-29
311,50,54073.68,Male,106.11,2023-06-23
539,69,57842.53,Male,,2023-07-03
137,44,57215.14,Male,36.59,2023-04-29
959,62,59943.22,Female,17.28,2023-12-25
1000,55,44407.5,Female,9.75,2023-02-15
729,30,31342.05,Male,32.47,2023-04-09
262,20,,Female,15.55,2023-08-08
548,33,34658.11,Female,115.18,2023-04-11
169,32,77734.34,Female,9.18,2023-02-25
791,30,33615.31,Male,15.09,2023-10-12
449,68,41672.01,Female,141.1,2023-01-10
140,52,,Male,8.24,2023-03-05
686,26,58458.64,FEMALE,7.52,2023-01-22
667,22,73917.58,Male,11.78,2023-10-15
858,25,52556.24,Male,81.67,2023-11-18
519,47,70990.33,male,62.52,2023-12-15
679,34,12508.91,Male,41.88,2023-05-19
534,40,52968.66,Female,7.57,2023-08-08
56,37,44231.67,Male,2.82,2023-03-16
121,58,63044.09,Male,24.43,2023-03-14
531,50,81128.91,Male,24.62,2023-11-28
26,50,37040.14,Male,29.13,2023-03-15
73,21,55064.04,Male,43.48,2023-07-28
45,38,25586.86,Female,41.09,2023-04-23
250,69,35324.41,Male,148.51,2023-09-27
405,67,58758.92,Female,48.37,2023-10-20
848,62,58998.93,Male,158.22,2023-03-09
704,62,64111.57,Female,146.96,2023-07-21
919,28,34296.34,Female,67.82,2023-07-27
199,20,60825.08,Female,127.99,2023-11-12
543,49,75913.15,Male,177.68,2023-02-21
356,62,35024.69,Male,19.39,2023-04-08
324,52,45362.42,Male,107.66,2023-07-29
650,64,56328.81,Female,6.76,2023-11-09
917,60,68006.21,Male,10.58,2023-10-30
236,18,52254.53,Male,48.58,2023-02-17
581,67,67231.49,Female,56.32,2023-09-02
950,22,62236.06,Male,22.22,2023-03-19
944,45,20504.65,Male,5.61,2023-03-07
908,34,38698.73,Male,103.74,2023-10-08
300,54,,male,51.08,2023-05-07
61,25,57947.06,Female,168.13,2023-12-11
328,63,36580.89,Female,5.5,2023-04-06
932,20,82475.04,Female,11.91,2023-01-12
602,38,81151.22,Male,30.47,2023-01-19
